,Techie,Tenure,MonthlyCharge,Male,One_year,Two_year
5565,0,68.03309,222.6792,1.0,0.0,1.0
3827,0,18.59752,149.9447,0.0,0.0,1.0
2107,0,8.182907,172.4871,0.0,0.0,0.0
9032,0,61.97321,162.4689,0.0,0.0,0.0
555,1,7.604093453,162.482694,0.0,0.0,1.0
9415,0,70.90623,179.9476,0.0,1.0,0.0
8351,0,65.52159,129.9483,1.0,0.0,0.0
4306,0,7.633263,152.4555,1.0,0.0,0.0
8933,0,55.9975,119.9897,0.0,0.0,0.0
2856,0,9.952476,182.49,1.0,0.0,0.0
4462,0,1.871066,215.1591,0.0,0.0,0.0
7232,0,71.38558,237.6549,0.0,0.0,0.0
2613,0,1.768753,220.1478,0.0,1.0,0.0
6616,1,68.7415,175.1331,0.0,0.0,0.0
5462,0,70.4859,119.9568,1.0,0.0,0.0
7074,0,61.51103,127.4421,1.0,0.0,1.0
2082,1,12.47887,200.1652,0.0,0.0,0.0
7405,0,41.14853,194.9581,1.0,0.0,0.0
5614,0,60.81561,242.6281,0.0,0.0,0.0
2098,0,6.818283,217.484,1.0,0.0,0.0
9167,0,50.8968,202.6829,0.0,1.0,0.0
7202,0,54.95441,164.9889,1.0,1.0,0.0
9316,0,70.05743,222.65,1.0,0.0,0.0
6528,0,54.88358,255.1417,0.0,0.0,0.0
2397,1,4.348554,174.9755,1.0,1.0,0.0
9983,0,58.54167,92.5018,1.0,0.0,0.0
8614,0,41.36314,255.1417,1.0,0.0,1.0
6089,0,69.76328,182.4762,1.0,1.0,0.0
293,0,5.201330266,137.516476,1.0,0.0,0.0
7399,0,69.9263,255.1336,0.0,1.0,0.0
8503,0,55.02676,265.1283,1.0,0.0,0.0
2708,0,9.026366,182.49,0.0,0.0,0.0
55,0,13.98666226,129.962093,0.0,1.0,0.0
3659,0,5.317775,129.995,0.0,1.0,0.0
3646,0,7.571234,147.4738,0.0,0.0,1.0
1802,0,2.932159225,107.481989,0.0,0.0,0.0
4286,0,8.052952,182.4538,1.0,1.0,0.0
4614,0,2.987316,214.9663,0.0,0.0,0.0
2406,0,4.867834,144.9607,1.0,0.0,0.0
842,0,17.37839741,182.460772,0.0,0.0,0.0
5448,0,65.78,232.652,0.0,0.0,0.0
5981,1,57.91581,230.1344,0.0,1.0,0.0
7356,1,69.50693,114.9838,0.0,0.0,0.0
5671,0,71.55357,192.4404,0.0,0.0,0.0
119,1,9.344886869,210.138,1.0,0.0,1.0
1770,0,5.118556082,127.473844,0.0,0.0,0.0
7110,0,63.411,157.4836,0.0,1.0,0.0
6017,0,63.5434,277.6375,0.0,0.0,1.0
1541,0,1.897261446,227.475448,0.0,0.0,0.0
938,0,15.90065569,192.440432,1.0,0.0,0.0
9935,1,70.50359,225.1457,0.0,0.0,0.0
3087,0,11.81544,140.0049,0.0,0.0,0.0
3225,0,5.902195,159.9512,0.0,0.0,0.0
5469,0,61.3125,152.5022,0.0,0.0,0.0
7091,0,71.14613,202.6362,1.0,1.0,0.0
9527,1,64.68955,197.4945,1.0,0.0,0.0
7928,1,43.2029,139.9349,1.0,0.0,0.0
4859,1,11.61657,114.9509,0.0,0.0,0.0
9690,0,48.07729,129.995,0.0,0.0,0.0
5482,0,67.31834,114.9728,1.0,0.0,0.0
1097,1,8.960033031,184.985293,0.0,1.0,0.0
4448,0,6.736871,222.6281,0.0,0.0,0.0
1794,0,8.248755691,177.48762,1.0,0.0,1.0
6545,0,60.18695,139.9512,1.0,0.0,1.0
7131,0,70.69395,265.147,1.0,0.0,0.0
9842,0,46.0622,152.4579,1.0,0.0,0.0
5867,0,65.67374,210.1051,1.0,0.0,0.0
908,0,7.176700824,124.964303,1.0,0.0,0.0
8924,0,43.98704,162.4937,1.0,0.0,0.0
747,0,7.607475355,117.483475,1.0,1.0,0.0
447,0,10.85041661,124.960655,1.0,0.0,1.0
9888,0,63.19406,235.1884,0.0,0.0,1.0
3122,0,3.62899,162.4689,1.0,0.0,0.0
8365,0,69.75643,167.4564,1.0,0.0,1.0
1521,0,1.19808324,114.972827,1.0,1.0,0.0
7958,0,62.77522,209.9931,0.0,1.0,0.0
2695,0,8.377189,240.1149,0.0,1.0,0.0
6199,0,68.6808,114.9838,1.0,0.0,0.0
7352,1,66.86351,162.5007,0.0,1.0,0.0
1592,0,11.07800251,194.988208,0.0,0.0,0.0
7478,0,58.12362,152.4624,1.0,0.0,0.0
6761,0,58.51588,167.4564,0.0,1.0,0.0
6518,0,47.32828,194.9581,1.0,1.0,0.0
722,0,10.35063785,127.442069,0.0,1.0,0.0
5600,0,67.91991,104.9643,1.0,0.0,0.0
6442,0,50.86377,117.472,0.0,0.0,0.0
1987,0,4.30774917,192.440432,0.0,0.0,0.0
6593,0,71.60143,182.4676,0.0,1.0,0.0
7501,0,65.27324,252.6378,1.0,0.0,1.0
4343,0,11.19005,117.4835,0.0,0.0,1.0
5521,0,53.22972,162.4827,0.0,0.0,1.0
727,0,8.508626757,129.948316,0.0,1.0,0.0
1725,1,6.267383901,127.442069,1.0,1.0,0.0
534,0,2.359067126,204.961033,1.0,0.0,1.0
4536,0,21.55836,144.9607,1.0,0.0,0.0
4393,0,21.19498,235.1591,0.0,0.0,1.0
7413,0,62.32227,262.6106,1.0,0.0,1.0
5474,0,66.10268,184.9634,1.0,0.0,0.0
9846,0,49.89893,172.5034,1.0,0.0,0.0
6875,0,57.5331,162.497,1.0,0.0,0.0
3908,0,11.00328,179.9794,1.0,0.0,1.0
8913,0,69.01117,212.6557,1.0,0.0,0.0
7505,0,66.85534,137.4872,1.0,0.0,0.0
9929,0,57.07531,210.1563,1.0,0.0,1.0
4583,0,8.850759,127.4586,0.0,0.0,0.0
6213,0,71.56158,164.9889,1.0,0.0,0.0
1448,0,13.24581884,112.455141,1.0,1.0,0.0
362,0,10.16660427,137.468388,0.0,0.0,1.0
9218,1,71.59806,207.4811,1.0,0.0,1.0
6257,0,66.2885,114.9728,0.0,0.0,0.0
1489,0,11.32483244,149.937833,0.0,0.0,0.0
4003,0,33.19612,149.9621,0.0,0.0,1.0
6670,0,61.80438,242.6326,1.0,0.0,1.0
2755,0,8.612474,149.9447,0.0,0.0,0.0
450,0,21.71097206,169.992756,0.0,1.0,0.0
5989,1,64.19903,105.011,1.0,0.0,1.0
8683,0,66.07094,127.482,1.0,0.0,0.0
8605,0,68.52272,159.9512,0.0,0.0,0.0
318,1,7.272649386,232.622804,0.0,0.0,0.0
3032,0,7.311512,184.9647,1.0,0.0,0.0
1044,0,14.5875554,182.460772,1.0,0.0,0.0
1978,0,16.01233793,129.977753,1.0,0.0,1.0
5504,0,61.38844,265.1283,1.0,0.0,0.0
7287,0,65.93142,194.9744,1.0,0.0,0.0
8053,0,66.78392,194.9581,0.0,1.0,0.0
9124,0,59.61692,149.9928,0.0,0.0,0.0
7907,1,56.09767,129.9621,1.0,1.0,0.0
1973,0,11.23691953,164.978458,1.0,0.0,1.0
2041,0,8.716735,144.9607,1.0,0.0,0.0
7490,0,56.37209,174.9744,0.0,1.0,0.0
9565,0,61.00345,184.967,0.0,0.0,1.0
7736,0,58.6688,255.1417,0.0,0.0,0.0
9820,0,62.96706,159.9512,1.0,0.0,0.0
5901,0,70.73486,154.9618,0.0,0.0,0.0
